Question,Option1,Option2,Option3,Option4,Answer,Time in Second
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
